No.,Time
1348,60.702
1349,60.769
1350,60.798
1354,60.814
1355,60.833
1358,60.869
1360,60.884
1362,60.899
1364,60.965
1366,61.033
1368,61.1
1369,61.109
1379,61.124
1390,61.166
1392,61.199
1396,61.232
1398,61.296
1400,61.324
1402,61.349
1404,61.364
1406,61.365
1408,61.405
1410,61.43
1412,61.459
1414,61.495
1416,61.524
1418,61.56
1419,61.565
1422,61.579
1424,61.605
1425,61.627
1433,61.654
1434,61.692
1435,61.719
1436,61.758
1437,61.76
1439,61.801
1442,61.809
1443,61.826
1446,61.842
1448,61.884
1449,61.892
1452,61.929
1453,61.955
1456,61.969
1457,62.01
1460,62.018
1462,62.023
1465,62.039
1466,62.05
1470,62.088
1471,62.091
1474,62.132
1476,62.154
1478,62.162
1480,62.173
1482,62.213
1484,62.22
1486,62.243
1488,62.254
1490,62.287
1492,62.319
1493,62.353
1496,62.384
1498,62.418
1500,62.454
1502,62.46
1504,62.462
1506,62.472
1507,62.484
1510,62.494
1512,62.544
1514,62.551
1516,62.617
1518,62.683
1519,62.699
1524,62.715
1526,62.739
1527,62.748
1530,62.78
1532,62.814
1534,62.82
1536,62.861
1538,62.878
1540,62.88
1542,62.883
1543,62.902
1544,62.909
1545,62.943
1546,62.948
1552,62.983
1554,63.013
1556,63.024
1561,63.064
1563,63.079
1565,63.105
1567,63.129
1569,63.145
1572,63.145
1575,63.161
1580,63.185
1582,63.209
1584,63.277
1585,63.279
1588,63.342
1590,63.344
1592,63.373
1595,63.384
1597,63.408
1599,63.474
1602,63.539
1603,63.542
1604,63.553
1608,63.579
1611,63.595
1613,63.607
1615,63.672
1617,63.674
1619,63.714
1623,63.738
1625,63.755
1626,63.795
1627,63.805
1628,63.828
1633,63.83
1635,63.836
1637,63.87
1638,63.877
1641,63.918
1643,63.935
1645,63.958
1646,63.999
1647,64.003
1651,64.04
1653,64.059
1655,64.068
1657,64.08
1659,64.121
1660,64.134
1663,64.162
1665,64.199
1671,64.203
1673,64.243
1676,64.267
1678,64.284
1684,64.293
1686,64.324
1688,64.332
1693,64.365
1700,64.399
1703,64.405
1707,64.446
1718,64.464
1719,64.487
1722,64.528
1726,64.53
1736,64.536
1745,64.568
1746,64.596
1755,64.609
1756,64.639
1758,64.649
1760,64.663
1772,64.69
1776,64.728
1779,64.73
1785,64.753
1789,64.771
1790,64.794
1791,64.812
